title,summary
더 이상 평안은 없다,"'아프리카 현대 문학의 아버지'라 불리는 작가 치누아 아체베의 대표작. 격동하는 사회 속에서 타락해 가는 나이지리아 지식인 청년의 모습을 통해 물질적인 현대 사회에서 소외되는 비극적 인간상을 그린다. 나이지리아 국가상을 받았으며, <모든 것이 산산이 부서지다> <신의 화살>과 함께 '아프리카 3부작'으로 불린다.

아프리카 탈식민주의 문학의 고전으로 사랑받는 작가의 전작 <모든 것이 산산이 부서지다>가 폭력적인 서구 세력에 맞서 부족의 전통과 문화를 지키려는 한 남자의 숭고한 이야기였다면, <더 이상 평안은 없다>는 식민 지배하에서 서구식 교육을 받은 그의 손자의 내적 갈등과 타락의 과정을 그리고 있다.

오비 오콩고는 4년 동안의 영국 유학을 마치고 나이지리아로 돌아온다. 그렇지만 그가 돌아와서 본 조국의 모습은 영국에서 머물던 동안 가슴속에 품고 있었던 그림과는 여러 가지 면에서 너무나 달랐다. 그는 이 모든 게 영국의 신식민주의로 인한 것임을 꿰뚫어 보지만, 그 거대한 벽 앞에서 오비 또한 좌절감을 느낀다.

오비를 해외로 유학을 보내는 데 주도적인 역할을 한 부족 연맹은 그가 부족을 위해 헌신할 것을 기대하는 가운데, 오비는 경제적으로 점차 궁지에 몰리게 된다. 작가는 한 청년의 추락을 통해 나이지리아의 새로운 세대의 탄생을 알림과 동시에 물질적인 현대 사회에서 소외되는 인간의 비극을 상징적으로 드러낸다."
민촌,"카프와 프로문학의 대표 작가 이기영. 그가 발표한 수십 편의 단편소설들 가운데 사회사나 사상운동사로서의 자료적 가치가 높으면서 또 소설 양식으로서의 구조미를 효과적으로 보여주는 14편을 선별해 수록했다. 문학과지성사 한국문학전집의 스물여덟 번째 권이다.

우리 문학사의 주옥같은 작품을 한자리에 모은 한국문학전집은 작가별로 편차를 두어 목록을 기획했다. 작가의 대표작을 중심으로 구성하되 대표작으로 인정되는 작품들과 숨겨진 수작들도 다양하게 실었다. 또한 작품의 원본을 토대로 연재본과 다른 판본과의 대조로 오류를 수정했다.

각 작가의 전공자들인 책임 편집자들이 충실한 낱말 풀이와 해설, 주석을 통해 작품에 대한 길잡이를 제공한다. 맞춤법과 띄어쓰기의 변환 작업에는 가급적 현대어 표기를 적용시켰고, 저작권 관련 사항도 정식 계약을 체결하여 진행했다."
Daddy Long Legs (키다리 아저씨 영문판),"감성 가득한 일러스트와 명작이 만난 인디고 '아름다운 고전시리즈'는 2006년 <어린왕자>를 출간한 이래 국내 독자뿐만이 아니라 대만, 홍콩을 비롯하여 오스트리아, 영국 등 세계 곳곳의 출판사에서 많은 관심을 보이며 영문으로 읽고 싶다는 요청이 끊이지 않았다. 이러한 요청과 성원에 힘입어 명작을 영문으로 읽고 싶은 국내외 독자들을 위해 '아름다운 고전시리즈' 영문판을 출간하고 있다.

그 두 번째 작품은 김지혁 그림 작가의 일러스트가 수록된 <키다리 아저씨>다. 김지혁 작가는 <빨간 머리 앤>, <작은 아씨들> 등 소녀들의 감성을 서정적으로 그려내 호평을 받은 바 있다.

작가를 꿈꾸는 소녀의 글쓰기 솜씨를 마음껏 뽐낼 수 있는 형식을 가진 <키다리 아저씨>를 원어로 읽는다면 그 재미는 배가될 것이다. 재미난 학교생활, 적극적인 의지 표현 등이 개성 있게 편지 형식에 담겨 번역된 문장으로는 완전하게 느낄 수 없었던 톡톡 튀는 소녀 주디를 고스란히 느낄 수 있기 때문이다.

무엇보다 이 소설은 사랑스럽다. 자신을 후원해주는 비밀스런 키다리 아저씨, 그리고 배려심 깊은 저비스 도련님에 대한 애정 표현이 넘쳐나는 편지기 때문이다. 결말을 알고 있는 독자로서 키다리 아저씨의 비밀을 하나하나 다시 풀어가며 한글판과 영문판을 비교해나간다면 표현의 문학적 유려함을 두 배로 느낄 수 있을 것이다."
분리된 평화,"존 놀스의 대표적 소설. 윌리엄 포크너상과 로젠탈상에 빛나는 존 놀스의 <분리된 평화>는 샐린저의 <호밀밭의 파수꾼>에 뒤지지 않는 작품성을 인정받는 영미 문학계의 대표적 성장소설이다. 1972년에는 영화로, 2004년에는 TV 드라마로 제작되는 등, 시간이 흘러도 독자들에게서 변함없는 사랑을 받을 만큼 그 생명력과 대중성도 뛰어나다.

이 작품은 2차 세계대전이라는 시대의 비극적 상황을 배경으로, 기숙학교라는 한 공간에 모인 청춘들이 서로를 향해 품게 되는 적의와 악이라는 주제를 치밀하게 엮음으로써 내용의 깊이를 더하고 있다. 책 한 장 한 장을 읽어나가는 과정은 쉴 틈 없이 이어지고 이야기의 긴장감과 충격에 한시도 눈을 떼지 못하게 된다.

폐쇄된 한 공간에서 자신의 존재를 각자의 방식으로 증명해나가려는 아이들이 서로에게 품게 되는 근거 없는 적의와 폭력성, 그로 인해 자신 스스로 친구에게 줄 수 있는 감정의 한계치를 정해놓은 어리석음에 대한 후회, 그리고 훗날에 가서야 깨닫게 되는 서로에 대한 순수한 우정을 담은 이 소설은 청소년들이 지녀야 할 '도덕적인 배려심'의 중요성을 뼈저리게 깨닫게 함으로써 성장소설의 진면목을 보여주기도 한다."
정글북 (무선),"역대 최연소 노벨문학상 수상 작가 러디어드 키플링의 가장 유명한 작품으로, 1894년 발표된 이후 전 세계 독자들에게 많은 사랑을 받은 베스트셀러 중 하나이다. 늑대소년 모글리가 정글과 인간 세상에서 겪은 에피소드, 잔인한 인간들을 피해 낙원을 찾아 떠나는 하얀 물개, 코끼리들의 동반자로 성장하는 투마이 소년 등 원작에 실린 일곱 편의 이야기를 충실히 옮겼다.

작가 키플링의 빛나는 상상력이 창조해낸 정글의 세계를 통해 인생의 모습을 은유적으로 보여준다. <이상한 나라의 앨리스>와 더불어 가장 많이 읽히는 대표적인 아동문학으로 자리매김했으며, 동물문학의 새로운 장을 열었다는 평가를 받았다. 존재 너머를 꿰뚫는 통찰, 명료하면서도 깊이와 울림이 있는 주제, 독창적인 상상력으로 가득한 작품이다."
화형법정,출판사에서 근무하는 에드워드 스티븐스는 어느 날 출판사에서 아끼는 인기작가의 원고에 딸려 있는 한 사진을 보고 아연실색한다. 17세기 독살범의 모습이 자신의 아내 마리와 똑같았기 때문이다. 부인 독살이 유행처럼 번졌던 17세기와 현대가 야릇하게 맞물리며 묘한 긴장감을 더한다.
한눈팔기,"을유세계문학전집 110번째 작품인 『한눈팔기』는 일본 근대 문학의 아버지라는 평가를 받는 나쓰메 소세키의 마지막 완성작이자 자전적 소설의 백미로 손꼽히는 걸작이다. 소세키는 이 작품의 주인공을 통해 입양과 파양에 따른 자신의 정신적 고뇌와 현실적 어려움을 가감 없이 진솔하게 보여 주고 있다.

또한 작가의 철학적, 문학적 관념을 오롯이 드러낸다는 점에서 그의 문학 세계에서 중요한 위치를 차지한다. 나쓰메 소세키의 작품을 좋아하는 독자라면 작가의 일면을 생생히 드러내는 『한눈팔기』는 놓칠 수 없는 필독서다."
게걸음으로,"민음사 세계문학전집 334권. 독일 문단에서 금기시되었던 피란선 구스틀로프호 침몰 사건을 다루어 독일뿐만 아니라 전 세계에 큰 충격을 안겼던 문제작. 1945년 1월, 독일 피란민 9000여 명을 태우고 항해 중이던 구스틀로프호는 러시아 잠수함이 발사한 어뢰 세 발을 맞고 침몰한다. 선장 넷을 비롯해 1000명 남짓만이 살아남은 이 사고의 희생자 대부분은 여성과 어린 아이들이었다.

독일 문단의 '행동하는 양심'으로 불리는 귄터 그라스는 정치적으로 민감한 문제를 다양한 서술 방식으로 다루어 온 작가다. '구스틀로프 호의 침몰'은 신나치주의 확산과 더불어 정치적으로 이용될 우려가 있는 사건이었다. 귄터 그라스는 정치적 함의나 해석에서 살짝 비켜서서 '게걸음'과 같은 방식으로, 옆으로 걸으면서 느릿느릿하게, 머뭇거리는 듯하지만 이 사건의 모든 면을 살펴보며 나아간다.

이념과 수치(數値) 속에 감춰진 죽음의 표정들, 단 한 측면만을 바라볼 때 일어날 수 있는 역사 왜곡 위험 등에 대해 경고하면서, 역사의 거시적 차원과 그 알맹이를 이루는 개개인들의 삶에 주목한다."
두보 시선,'지식을만드는지식 시선집'. 두보의 시 작품들을 소개하는 책. 두보의 다양한 시풍을 소개하는 데 중점을 두고 원전에 수록된 1457수 중 62수를 가려 뽑아 번역했다. 여러 주석서 가운데 자료 가치가 가장 풍부한 것으로 알려진 구조오의 <두시상주>를 기본 자료로 삼았다. 여기서는 우국지사의 모습보다는 생활인으로서의 두보를 만날 수 있다. 한 편의 이야기 같은 다양한 장편시들도 수록했다.
워싱턴 스퀘어,"근대 소설의 거장 헨리 제임스의 장편소설. 1880년에 발표되었으며, 제임스답지 않게 간명한 상황 설정과 문체, 작은 수의 등장인물로 이루어진 작품이다. 두 차례 영화화되었다. 특히 몽고메리 클리프트와 올리비아 드 하빌랜드가 주연한 윌리엄 와일러의 1949년 영화는 명작으로 남아 있다.

잘나가는 의사의 딸로 상당한 유산을 물려받을 예정이지만 평범한 외모와 소심한 성격 때문에 늘 뒷전으로 비켜서 있는 캐서린. 어느 날 그녀 앞에 '눈이 부실 지경으로 아름다운' 모리스가 나타나 사랑을 고백한다. 둘은 곧 결혼을 약속하지만 딸을 평가 절하하는 아버지는 모리스의 목적이 돈에 있다고 단정한다.

결혼을 방해하기 위해 모든 수단을 강구하는 아버지. 머리 돌아가는 것만큼은 지지 않는 모리스. 여기에 일방적으로 모리스의 편을 드는 캐서린의 고모까지 가세하면서 캐서린의 사랑은 파국을 맞는데…."
