title,summary
가모우 저택 사건 1,"제18회 일본 SF 대상을 수상한 소설. 주인공 소년이 과거의 한 시점으로 돌아가 교과서나 뉴스에서만 보았던 역사적 사건과 시대상을 직접 경험하는 성장 이야기를 담고 있다. 시간 여행이라는 소재를 통해 역사관을 고민하고 그것이 어떤 식으로 삶에 관여하고 있는지 열여덟 살 소년의 눈을 통해 들여다본다. 주인공은 대학입시에 실패하고 예비교 수험을 위해 상경한 오자키 다카시.

고쿄 근처의 한 호텔에 투숙하다 호텔 프런트에서 기분 나쁜 중년 남자와 맞닥뜨린다. 마치 몸 전체에서 마이너스 오라에 가까운 어둠이 묻어나고 있는 남자. 헤이세이 6년 2월 25일, 다카시는 시험을 무난하게 넘기고 히라카와초의 해자로 돌아왔다. 그곳은 2.26 사건이 일어난 현장으로 다카시가 투숙하고 있는 호텔은 이전에 육군대장 가모우 노리유키의 저택이 있던 곳이다.

그날 밤, 호텔은 배전선의 노화가 원인이 되어 화재에 휩싸이고. 화염과 연기 속에서 탈출에 실패한 다카시는 죽음을 각오한다. 그러나 그때 그의 어깨를 뒤에서 흔드는 사람이 있었으니 바로 얼마 전 로비에서 마주친 중년 남자였다. 그리고 다카시는 그와 함께 시간을 넘어 쇼와 11년 2월 26일 새벽의 도쿄로 타임슬립해 버린다. 알고 보니 어두운 분위기의 남자는 시간 여행자. 그는 위조된 호적을 구해 히라타 지로라는 이름을 가지고 가모우 저택의 하인으로 일하고 있었다.

마침내 2.26 사건을 일으킨 청년장교들이 결기한 날 밤, 가모우 저택에서는 당주 노리유키가 권총 자살을 한다. 하지만 안쪽으로 잠긴 당주의 방에서 방아쇠를 당긴 권총은 발견되지 않는데... 군사 쿠데타의 혼란이 제도를 흔드는 긴박한 4일이 시작된 가운데, 다카시는 가모우 대장의 죽음에 얽힌 수수께끼를 해명해야 한다."
아름다움의 선,"2004년 맨부커상 수상작. 영미권에선 이언 매큐언, 줄리언 반스, 알리 스미스 등과 함께 평단과 대중의 지지를 동시에 받아온 최고의 작가이지만 국내에는 처음으로 소개되는 앨런 홀링허스트의 대표작이다. 우리나라에 비해 성소수자에 대한 인식이 훨씬 개방적인 영미권에서도 남성 동성애자의 성애를 정면으로 다룬 <아름다움의 선>의 맨부커상 수상은 하나의 '사건'이었다.

신문들은 일제히 그 소식을 대서특필했다. '게이소설이 맨부커상을 수상하다'(「텔레그래프」 「이브닝 스탠더드」), '영국 게이들의 삶 이야기가 최고의 문학상을 받다'(「뉴욕 타임스」). 심지어 '게이섹스가 부커상을 타다'(「데일리 익스프레스」), '게이책이 이기다(수상하다)'(「더 썬」) 같은 제목도 있었다.

소설은 1983, 1986, 1987년의 총 세개 장에서 ""흔해빠진 부모의 흔해빠진 아들""인 게이 청년 닉과 대처 시대의 전형과도 같은 페든 가족 사이에서 유지되는 내밀한 긴장을 축으로 영국 상류층의 위선과 모순, 닉과 주변 동성애자들의 현실적인 삶, 1980년대에 부상한 에이즈 위기 등을 세밀하게 다룬다. 영국 공영방송 BBC에서 3부작 미니시리즈로 제작되기도 했다."
쓰기의 계절,"나 자신과 삶에 대해 생각해 볼 수 있으면서도, 누구나 쓸 수 있는 보편적인 소재를 모았다. 글쓰기에 관심은 있으나 무엇을 써야 할지 잘 모르는 사람이 부담 없이 글쓰기를 시작하기에 좋다. 순서대로 쓸 필요도, 한 번에 다 쓸 필요도 없다. 쓰고 싶은 날, 쓰고 싶은 글을 쓰고 싶은 만큼 쓰면 된다. 머릿속에 떠오르는 단어나 단상을 메모해 두었다가 나중에 참고할 수도 있다.

글을 완성하는 것보다 내게 있는 이야깃거리를 발견하는 것이 더 중요하다. 그 과정을 통해 나 자신과 가까워질 수 있다. 잊고 있던 추억이나 외면해 온 상처와 마주하는 기회가 될지도 모른다. 이 주제가 내 삶에 어떤 의미가 있는지 헤아려 보는 것도 좋다. 쉰다섯 편의 주제를 통해 내 삶을 돌아보고, 글쓰기의 기쁨을 누려 보자."
갈라테아 2.2,"현대 과학과 기술의 영향을 탐구하는 작품을 주로 발표하며 2019년 퓰리처상을 수상한 리처드 파워스의 소설. 한때 물리학을 전공했던 소설가와 컴퓨터 기반의 신경 네트워크를 통해 인간의 뇌를 모델링하려는 인지과학자가 인공 지능을 교육시켜 인간과 같은 학습 능력을 키울 수 있는지 알아보는 실험 과정을 그리고 있다.

풍부한 문학적 인용과 실제로 물리학을 전공했던 작가의 엄밀한 과학적 고증을 조합시킨 이 소설은 출간된 해에 「타임」이 선정한 ‘올해의 책’으로 뽑혔으며, 현재까지도 전통적인 미국 장편 문학과 SF의 특성을 가장 잘 조합한 작품으로 회자되고 있다."
부바르와 페퀴셰 1,"귀스타브 플로베르의 미완성 유작 <부바르와 페퀴셰>의 개정판. 1995년 출간되었던 작품을 새롭게 펴냈다. 세상의 모든 일에 호기심을 가지고 덤벼드는 두 인물의 이름을 제목으로 내세운 이 소설은, 진리를 탐구하는 과정에서 벌어지는 소동을 그려내면서 인간의 어리석음과 과학에 대한 환상을 꼬집는다.

'인간의 어리석음에 대한 백과전서'라고 부제를 붙인 것에서 알 수 있듯, 플로베르의 모든 경험, 그리고 인간과 인간사의 모든 일에 대한 판단이 집약된 방대한 통합체로 평가받는 작품이다. 희화화된 인물과 심미적인 주제, 순환구조가 반복되는 형식도 특징이다.

뚱뚱하고 다혈질인 부바르와 왜소하고 소심한 페퀴셰는 상반되는 외모와 기질에도 불구하고 죽이 잘 맞는 친구 사이다. 뜻하지 않게 유산을 상속받은 두 사람은 시골로 내려가 진리를 탐구하기로 한다. 그들은 원예, 농업, 화학, 의학, 지질학, 고고학, 역사, 문학, 철학, 종교, 교육 등 온갖 분야의 학문을 두루 접하면서 매번 전문서적을 탐독하고, 과학 이론을 현실에 적용하려고 노력하지만 실수를 연발한다.

때로는 기이하기까지 한 이들의 탐구열은 곧 주위 사람들의 비웃음을 사고 이용당하기에 이르지만, 플로베르의 풍자의 날은 부바르와 페퀴셰가 아닌, 이들을 둘러싼 세계를 겨누고 있다.

모든 장은 두 사람이 하나의 주제에 대해 흥미와 열정을 느끼고 연구를 시작했다가 실패한 후 권태와 좌절을 느끼게 되는 동일한 리듬을 반복한다. 저마다 진리를 다르게 말하는 수많은 책 속에서, 절대적인 진리를 찾고자 하는 부바르와 페퀴셰의 시도는 번번이 실패할 수밖에 없기 때문이다.

플로베르는 이 소설에 등장하는 광범위한 소재를 다루기 위해 1,500권이 넘는 전문서적을 탐독하고 8인치 높이의 공책에 메모를 남기는 등 필력을 기울였으나 1880년에 사망함으로써 완성하지는 못했다. 이 작품은 결말에 대한 메모와 함께 1881년에 출간되었다."
바다 그리움을 달랠 때,"김소월문학상 수상시인 김성부의 최신작. 쉬운 언어로 일상의 한 순간을 담아내는 시인 김성부. 꽃 한 송이, 호수 한 모금, 모래 한 줌이 손끝에서 사각거리며 한 편의 시로 태어난다. 읽을 때마다 달라지는 짧고 긴 시 속에 마음을 어루만지는 따스함이 스며 있다."
가모우 저택 사건 2,"제18회 일본 SF 대상을 수상한 소설. 주인공 소년이 과거의 한 시점으로 돌아가 교과서나 뉴스에서만 보았던 역사적 사건과 시대상을 직접 경험하는 성장 이야기를 담고 있다. 시간 여행이라는 소재를 통해 역사관을 고민하고 그것이 어떤 식으로 삶에 관여하고 있는지 열여덟 살 소년의 눈을 통해 들여다본다. 주인공은 대학입시에 실패하고 예비교 수험을 위해 상경한 오자키 다카시.

고쿄 근처의 한 호텔에 투숙하다 호텔 프런트에서 기분 나쁜 중년 남자와 맞닥뜨린다. 마치 몸 전체에서 마이너스 오라에 가까운 어둠이 묻어나고 있는 남자. 헤이세이 6년 2월 25일, 다카시는 시험을 무난하게 넘기고 히라카와초의 해자로 돌아왔다. 그곳은 2.26 사건이 일어난 현장으로 다카시가 투숙하고 있는 호텔은 이전에 육군대장 가모우 노리유키의 저택이 있던 곳이다.

그날 밤, 호텔은 배전선의 노화가 원인이 되어 화재에 휩싸이고. 화염과 연기 속에서 탈출에 실패한 다카시는 죽음을 각오한다. 그러나 그때 그의 어깨를 뒤에서 흔드는 사람이 있었으니 바로 얼마 전 로비에서 마주친 중년 남자였다. 그리고 다카시는 그와 함께 시간을 넘어 쇼와 11년 2월 26일 새벽의 도쿄로 타임슬립해 버린다. 알고 보니 어두운 분위기의 남자는 시간 여행자. 그는 위조된 호적을 구해 히라타 지로라는 이름을 가지고 가모우 저택의 하인으로 일하고 있었다.

마침내 2.26 사건을 일으킨 청년장교들이 결기한 날 밤, 가모우 저택에서는 당주 노리유키가 권총 자살을 한다. 하지만 안쪽으로 잠긴 당주의 방에서 방아쇠를 당긴 권총은 발견되지 않는데... 군사 쿠데타의 혼란이 제도를 흔드는 긴박한 4일이 시작된 가운데, 다카시는 가모우 대장의 죽음에 얽힌 수수께끼를 해명해야 한다."
언맨드,"2021년 제17회 세계문학상 수상작. 초기 수상작 『미실』(김별아), 『아내가 결혼했다』(박현욱), 『스타일』(백영옥), 『내 심장을 쏴라』(정유정)부터 근래 수상작 『보헤미안 랩소디』(정재민), 『저스티스맨』(도선우), 『로야』(다이앤 리), 『도서관을 떠나는 책들을 위하여』(오수완)까지 독자와 호흡하는 작품을 배출하며 한국 대표 장편소설상으로 자리를 지켜온 세계문학상이 올해로 열일곱 번째를 맞았다.

올해 세계문학상 심사위원단(최원식, 은희경, 권지예, 정홍수, 하성란, 강영숙, 박혜진)은 저마다 자신의 현실을 살아가는 사람들을 ‘연결’해줄 ‘좋은 질문’에 주목하고, “우리가 찾는 새로운 소설은 더 많은 사람이 모일 수 있는 질문을, 광장으로서의 질문을 품고 있는 소설”이라며 채기성 작가의 『언맨드(Unmanned)』를 호명했다. 『언맨드』는 인공지능과 4차 산업혁명이 더는 낯설지 않은 일상의 용어가 된 오늘, 머지않은 미래에 우리가 맞닥뜨리게 될 질문을 품고 당도한 도전적인 소설이다.

로봇이 다양한 영역에서 인간을 대체하고, 로봇과 일상을 함께하는 라이프스타일이 대중의 동경을 받는 시대, 인간의 행동과 감정에 반응하면서 스스로 진화한 로봇은 인간처럼 감정을 느끼고 예술을 향유하며 나아가 시스템의 통제에서 벗어나 자율적이고 독립적인 존재가 되기를 꿈꾼다.

그동안 로봇을 소재로 한 소설이 많이 있었지만 『언맨드』는 “인간‘의’ 무엇으로서가 아니라 전혀 다른 존재로서의 로봇을 탐구함으로써, 인간이란 무엇인가, 무인 시대에 인간 존재는 무엇일 수 있는가에 대한 철학적인 사유를 펼쳐 나가는 데 거침이 없다.”(심사평에서) 탄탄하게 설계된 스토리는 기술의 발전으로 도래할 세상의 풍경과 그 속에서 치열한 공방을 펼치는 로봇과 인간의 관계를 숨 쉴 틈 없이 펼쳐 보인다."
주마등 임종 연구소,"2015년 SF어워드 중·단편소설 부문 대상, 2019년 SF어워드 장편소설 부문 우수상을 수상한 작가 박문영의 신작 소설 『주마등 임종 연구소』가 소설Q 아홉번째 작품으로 출간되었다. 사회에서도 뜨겁게 논의되고 있는 존엄사에 대한 이야기와 더불어 여성 간의 연대를 그리는 이 소설은, 첫 장부터 긴장감 넘치는 장면을 밀도 높게 제시하며 읽는 이의 마음을 사로잡는다.

안락사가 법으로 허용된 직후의 미래 세계, 연계기관으로 설립된 ‘주마등 임종 연구소’는 지원자들에게 시공간을 넘어 원하는 장면에서 원하는 죽음을 맞이할 수 있는 서비스를 제공한다. 가장 행복한 장면에서 죽음을 맞이할 수 있다는 연구소의 설명과 달리, 임종 과정 중 갑작스러운 발작을 겪고 의식불명에 빠진 지원자가 등장하며 소설은 시작된다. “독자가 자신의 죽음과 조우하게 하되, 결국 ‘살아감’에 대해 생각하도록”(해설, 김보영) 이끄는 이 소설은 존엄한 죽음 그리고 현재의 삶에 대한 진지한 고민을 남긴다."
목신의 오후,민음사 50주년 기념 '세계시인선' 리뉴얼판 9권. 불문학계 거장 김화영 교수의 믿을 수 있는 번역으로 담아냈다.
