title,summary
완전한 행복,"발표하는 작품마다 독자들의 열광적인 지지를 받으며 한국문학의 대체불가한 작가로 자리매김한 정유정의 신작. 500여 쪽을 꽉 채운 압도적인 서사와 적재적소를 타격하는 속도감 있는 문장, 치밀하고 정교하게 쌓아올린 플롯과 독자의 눈에 작열하는 생생한 묘사로 정유정만의 스타일을 가감 없이 보여주는 한편, 더 완숙해진 서스펜스와 인간의 심연에 대한 밀도 높은 질문으로 가득 찬 수작이다.

《완전한 행복》은 버스도 다니지 않는 버려진 시골집에서 늪에 사는 오리들을 먹이기 위해 오리 먹이를 만드는 한 여자의 뒷모습에서 시작된다. 그녀와 딸, 그리고 그 집을 찾은 한 남자의 얼굴을 비춘다. 얼굴을 맞대고 웃고 있지만 그들이 추구하는 서로 다른 행복은 서서히 불협화음을 만들어낸다. 이 기묘한 불협화음은 늪에서 들려오는 괴기한 오리 소리와 공명하며 불안의 그림자를 드리운다. 그들은 각자 행복을 위해 노력한다. 그러나 노력할수록 더 깊이 빠져드는 늪처럼, 그림자는 점점 더 깊은 어둠으로 가족을 이끈다.

소설은 ‘인간은 행복을 추구한다’는 일견 당연해 보이는 명제에서 출발하면서도, ‘나’의 행복이 타인의 행복과 부딪치는 순간 발생하는 잡음에 주목한다. 전작들에서 악을 체화한 인물을 그리기까지 악의 본질에 대한 이해를 끌고 나간 정유정은 이번 소설에서는 악인의 내면이 아니라 그가 타인에게 드리우는 검은 그림자에 초점을 맞춘다.

자기애의 늪에 빠진 나르시시스트가 자신의 행복을 위해 타인의 삶을 휘두르기 시작할 때 발현되는 일상의 악, 행복한 순간을 지속시키기 위해 그것에 방해가 되는 것들을 가차 없이 제거해나가는 방식의 노력이 어떤 결말을 향해 달려가는지를 보여주는 《완전한 행복》은 무해하고 무결한 행복에 경도되어 있는 사회에 묵직한 문학적 질문을 던진다."
인소의 법칙 16 (한정판),"어느덧 고등학교 졸업을 앞둔 함단이와 친구들. 함단이는 마지막까지 잃어버린 것을 되찾으려 하지만, 계속되는 오해와 엇갈림으로 점점 지쳐만 가는데……. 엎친 데 덮친 격으로 관리자의 위협이 계속되던 중, 함단이는 파티에서 뜻밖의 인물과 마주치는데..."
밤에 찾아오는 구원자,"제4회 한국과학문학상 장편소설 부문 대상, SF어워드 2020 장편소설 부문 우수상을 받았고, 《천 개의 파랑》, 《어떤 물질의 사랑》 등으로 현재 가장 주목받는 SF 작가 천선란의 새로운 시도가 돋보이는 장편소설이다. “외로운 사람의 피 맛을 알아보는 뱀파이어에 대한 작가의 상상력”에서 시작된 이 작품에서 뱀파이어는 어떤 모습으로 재탄생되었을까.

지금까지 페미니즘, 소외 계층 등 사회문제를 소설에 계속 반영해 왔던 작가는 이번 작품에서도 뱀파이어라는 비주류의 존재가 사회에서 어떻게 소비되고 이해되는지를 절묘하게 드러낸다. 작가가 독자에게 보여 주고자 한 것은 타자화되지 않은 뱀파이어라는 존재, 뱀파이어가 견뎌야만 하는 현실과 시간 그 자체다. 생존을 위해 피를 마셔야 한다는 이유로 배척당해야 했던 존재, 죽지도 않고 인간보다 훨씬 긴 시간을 감당해야 하는 존재에 대한 섬세한 시선이 곳곳에 엿보인다.

외로움에 온몸이 잠식되어 무감하게 살아가는 수연. 머나먼 타국으로 입양되어 고독한 이방인이 되어 버린 완다. 단 한 번도 가족의 도움을 받아 보지 못한 ‘착한 딸’ 난주. 어느 날 문득, 그 존재가 그들의 눈앞에 운명처럼 나타난다. 외로운 사람의 피를 알아보고 밤에 찾아오는 구원자, 뱀파이어. 소름 끼치게 아름답고 매혹적인 그 존재는 수연, 완다, 난주의 삶을 송두리째 뒤흔들어 놓고 마는데…."
미드나잇 라이브러리,"""이 책들은 네가 살았을 수도 있는 모든 삶으로 들어가는 입구야."" 더 이상 자신의 하찮고 지질한 삶을 견딜 수 없었던 주인공 노라 시드가 죽기로 결심한 것은 밤 11시 22분. 그가 눈을 뜬 곳은 삶과 죽음 사이의 미스터리한 공간 '미드나잇 라이브러리'. 시간은 자정에서 멈춰 있다. 도서관 사서 엘름 부인의 안내로 노라는 과거에 다른 선택을 했다면 살았을 수도 있는 또 다른 삶을 살아보며, 가장 완벽한 삶을 찾는 모험을 시작한다.

2020년 8월 출간 이후 영국에서만 70만 부 이상 판매되며 영국 아마존 종합 베스트셀러 1위에 올랐고, 미국에서도 아마존, 《뉴욕타임스》 장기 베스트셀러에 오르며 평단과 독자의 열렬한 지지를 받고 있다. SNS로도 독자들과 활발히 소통하는 작가의 팬들답게 #midnightlibrary로 독서 경험을 나누고 있는 전 세계 독자들과 함께해보는 것도 새로운 경험이 될 것이다."
놀이터는 24시,"단편소설 앤솔러지 《놀이터는 24시》는 게임회사 엔씨소프트와 함께 기획한 도서이다. ‘NC Fiction Play’라는 브랜딩 캠페인의 일환으로 진행된 이번 프로젝트를 위해, ‘즐거움의 미래’라는 흥미로운 주제로 7명의 국내 최고의 작가분들의 서로 다른 상상과 의미를 담아 한 권의 책으로 엮었다."
던전에서 만남을 추구하면 안 되는 걸까 17,“꿇어 엎드리렴.” 이것은 소년이 함락되고 미의 신이 개찬한 파밀리아 미스.
달러구트 꿈 백화점 (50만 부 기념 드림 에디션),"이미예 장편소설. 잠들어야만 입장할 수 있는 독특한 마을. 그곳에 들어온 잠든 손님들에게 가장 인기 있는 곳은, 온갖 꿈을 한데 모아 판매하는 '달러구트의 꿈 백화점'이다. 긴 잠을 자는 사람들은 물론이고, 짧은 낮잠을 자는 사람들과 동물들로 매일매일 대성황을 이룬다.

범상치 않은 혈통의 주인장 '달러구트', 그리고 그의 최측근에서 일하게 된 신참 직원 '페니', 꿈을 만드는 제작자 '아가넵 코코', 그리고 베일에 둘러싸인 비고 마이어스…등이 등장한다.

<달러구트 꿈 백화점>은 '무의식에서만 존재하는 꿈을 정말 사고 팔 수 있을까?'라는 기발한 질문에 답을 찾아가며, 꿈을 만드는 사람, 파는 사람, 사는 사람의 비밀스런 에피소드를 담고 있는 판타지 소설이다. 텀블벅 펀딩 1812% 달성, 전자책 출간 즉시 베스트셀러 1위를 3주간 기록하며 수많은 독자들의 요청으로 종이책으로 출간하게 되었다."
문명 1,"베스트셀러 작가 베르나르 베르베르의 신작 장편소설. 소설의 배경은 전염병으로 수십억 명이 사망하고, 테러와 전쟁으로 황폐해진 세계. 이 소설이 프랑스에서 처음 출간된 2019년에만 해도 흔히 사용되는 디스토피아적 배경에 불과했겠지만 코로나 시대를 살아가는 지금 우리에게는 더욱더 생생하게 느껴지는 설정이다.

베르베르는 개미나 고양이 같은 동물, 신이나 천사 같은 초월적 존재를 내세워 새로운 시각으로 인간 세상을 그려 왔다. 인간은 조연에 불과하고 주연은 모두 동물이 차지한 이 '고양이 3부작'에서 작가는 <이 세상은 인간의 것만이 아니다>라는 것을 끊임없이 강조한다. 작가는 동물들의 입을 통해 단순히 동물권 보호의 차원을 넘어 인간 중심주의를 타파해야 한다는 문제의식을 때로는 진지하게, 때로는 유머러스하게 전달하고 있다."
문명 2,"베스트셀러 작가 베르나르 베르베르의 신작 장편소설. 소설의 배경은 전염병으로 수십억 명이 사망하고, 테러와 전쟁으로 황폐해진 세계. 이 소설이 프랑스에서 처음 출간된 2019년에만 해도 흔히 사용되는 디스토피아적 배경에 불과했겠지만 코로나 시대를 살아가는 지금 우리에게는 더욱더 생생하게 느껴지는 설정이다.

베르베르는 개미나 고양이 같은 동물, 신이나 천사 같은 초월적 존재를 내세워 새로운 시각으로 인간 세상을 그려 왔다. 인간은 조연에 불과하고 주연은 모두 동물이 차지한 이 '고양이 3부작'에서 작가는 <이 세상은 인간의 것만이 아니다>라는 것을 끊임없이 강조한다. 작가는 동물들의 입을 통해 단순히 동물권 보호의 차원을 넘어 인간 중심주의를 타파해야 한다는 문제의식을 때로는 진지하게, 때로는 유머러스하게 전달하고 있다."
불안한 사람들,"『오베라는 남자』로 전 세계를 사로잡은 감동소설의 대가 프레드릭 배크만이 웃음도 감동도 한층 짙어진 새로운 장편소설 『불안한 사람들』로 돌아왔다. 이 작품은 “역시 배크만은 틀릴 리가 없다” “팬데믹 시대의 불안을 해소해줄 가장 믿음직한 치료제” “공포 속 희망, 비극 속 유머, 혼돈 속 우아함, 웃음 속 눈물이 황홀하게 쏟아져 내린다” 등 열광적인 찬사를 받으며 다시 한번 배크만만이 도달 가능한 독보적인 영역을 증명했다. 또한 출간 즉시 아마존과 뉴욕타임스 베스트셀러에 올랐고, 2020년을 마감하며 아마존 올해의 책 소설 Top 2, 굿리즈, 내셔널 퍼블릭 라디오, 스토리텔 어워드 등 여러 매체에서 올해의 책으로 선정되었다.

『불안한 사람들』 속 주인공들은 몸만 커버린 채 미처 어른이 되지 못했다고 느끼는 사람들이다. 나이를 먹어가고 일을 해서 돈을 벌어야 하고 어른스러운 모습을 보여줘야 할 때마다 써야 하는 가면의 종류는 늘어간다. 이것저것 알고 있는 척, 처음 겪는 일투성이지만 겁나지 않는 척, 현재의 삶에 만족하는 척……. 거기에 지켜야 할 아이나 식구가 있다면? 절대로 실체를 들키지 말아야 할 사람이 한 명 더 늘어난다.

프레드릭 배크만은 평범한 사람들의 속내를 훤히 들여다보듯 정확하고 따뜻한 시선으로 세월의 흔적에 닳고 굳은 상처를 부드럽게 어루만진다. 함께 살아가면서 점차 오해와 거짓말이 늘어가지만, 그 거짓말조차 어떻게든 더 잘해보려 애쓴 몸부림이었음을, 사랑하는 사람을 행복하게 해주고픈 마음이 클수록 때로 더 바보 같은 실수를 저지르곤 한다는 것을, 이따금 그런 실수가 인생을 아름다운 난장판으로 만들기도 한다는 것을, 작가는 『불안한 사람들』에서 어느 때보다 무르익은 솜씨와 심도 깊은 통찰로 말해주고 있다."
